(Lyrics:The Weird Al Show Theme, The Weird Al Show Theme)
(Lyrics:Robert Plant, Robert Plant)
(Lyrics:Polka Power!, Polka Power!)
(I'm In Luv Wit Da Skipper, Lyrics:I'm In Luv Wit Da Skipper)
(Wheel of Fish, UHF Movie)
(Lyrics:Don't Download This Song, Don't Download This Song)
(Close But No Cigar, Lyrics:Close But No Cigar)
(Polkas On 45, "Weird Al" Yankovic)
(Polkas On 45, The Beatles)
(Polkas On 45, Lyrics:Polkas On 45)
(Complete Song List, Unreleased Song List)
(The Biggest Ball of Twine in Minnesota, The Biggest Ball Of Twine In Minnesota)
(Lyrics:Melanie, Melanie)
(My Baby's In Love With Eddie Vedder, Lyrics:My Baby's In Love With Eddie Vedder)
(Snails, Lyrics:Snails)
(1980s, Another One Rides The Bus)
(1980s, Living With A Hernia)
(1980s, Christmas At Ground Zero)
(1980s, I Think I'm A Clone Now)
(1980s, Eat It)
(1980s, Theme From Rocky XIII)
(1980s, In 3-D)
(1980s, The Food Album)
(1980s, Like A Surgeon)
(1980s, This Is The Life)
(1980s, 1990s)
(1980s, Jon "Bermuda" Schwartz)
(1980s, Fat)
(1980s, I Lost On Jeopardy)
(1980s, Lasagna)
(1980s, Dare To Be Stupid)
(1980s, 2000s)
(1980s, My Bologna)
(1980s, Hooked On Polkas)
(1980s, UHF (film))
(1980s, Ricky)
(1980s, I Love Rocky Road)
(1980s, White and Nerdy)
(Single:Fat, Fat)
(Single:Fat, You Make Me)
(The White Stuff, Album:Off The Deep End)
(The White Stuff, Lyrics:The White Stuff)
(I'm In Love With The Skipper, I'm In Luv Wit Da Skipper)
(Lyrics:Al's band, Lyrics:Al's Band)
("Weird Al" Yankovic The Ultimate Video Collection, "Weird Al" Yankovic: The Ultimate Video Collection)
(Lyrics:Song:Bob, Lyrics:Bob)
(Lyrics:You Don't Love Me Anymore, You Don't Love Me Anymore)
(Lyrics:My Baby's In Love With Eddie Vedder, My Baby's In Love With Eddie Vedder)
(She Was A Mime, She Never Told Me She Was A Mime)
(When I Was Your Age, Lyrics:When I Was Your Age)
(Album:Fat, Single:Fat)
(Lyrics:The Night Santa Went Crazy, Song:The Night Santa Went Crazy)
(Lyrics:One More Minute, One More Minute)
(Single:Jurassic Park, Album:Alapalooza)
(Single:Jurassic Park, Jurassic Park)
(Single:Jurassic Park, Frank's 2000" TV)
(EP:Another One Rides The Bus, Happy Birthday)
(EP:Another One Rides The Bus, Mr. Frump In The Iron Lung)
(EP:Another One Rides The Bus, Gotta Boogie)
(EP:Another One Rides The Bus, Another One Rides The Bus)
(EP:Another One Rides The Bus, Single:Another One Rides The Bus)
("Weird Al" Yankovic, The Weird Al Show)
("Weird Al" Yankovic, YouTube)
("Weird Al" Yankovic, UHF (film))
("Weird Al" Yankovic, "Weird Al" Yankovic Discography)
("Weird Al" Yankovic, Album:"Weird Al" Yankovic)
("Weird Al" Yankovic, Alpocalypse)
("Weird Al" Yankovic, AL-TV)
(The Check's In The Mail, Album:"Weird Al" Yankovic)
(The Check's In The Mail, Lyrics:The Check's In The Mail)
(Poodle, Lyrics:Poodle)
(Lyrics:I Will Survive, Lyrics:I Will Comply)
(Lyrics:Mr. Popeil, Mr. Popeil)
(Album:Weird Al Yankovic In 3-D, Album:"Weird Al" Yankovic In 3-D)
(Song:Bite Me, Bite Me)
(Lyrics:Isle Thing, Isle Thing)
(Song:Smells Like Nirvana, Smells Like Nirvana)
(Locomanui, CNR)
(Polka Power!, "Weird Al" Yankovic)
(Polka Power!, W.A.Y. Moby Polka)
(Polka Power!, Lyrics:Polka Power!)
(The Brady Bunch, Lyrics:The Brady Bunch)
(Studio Albums (info), Albums)
(Album:Whatever You Like, Single:Whatever You Like)
(Cheese, Virus Alert)
(Cheese, Song:UHF)
(Cheese, Genius In France)
(Cheese, Trapped In The Drive-Thru)
(Cheese, Talk Soup)
(Cheese, A Complicated Song)
(Cheese, Perform This Way)
(Cheese, The Biggest Ball Of Twine In Minnesota)
(Cheese, Taco Grande)
(Cheese, Grapefruit Diet)
(Cheese, Homer And Marge)
(Cheese, Moldy Now)
(Cheese, Song:Cheese)
(Cheese, Whatever You Like)
(Cheese, Nature Trail To Hell)
(Cheese, This Is The Life)
(Confessions Part 3, Confessions Part III)
(Food Medley, Girls Just Want To Have Lunch)
(Food Medley, Avacado)
(Food Medley, Burger King)
(Food Medley, Lyrics:Food Medley)
(Food Medley, Whole Lotta Lunch)
(Food Medley, Don't You (Forget About Meat))
(Food Medley, My Bologna)
(Food Medley, Theme From Rocky XIII)
(Food Medley, Moldy Now)
(Food Medley, Spameater)
(Food Medley, I Feel Like Throwin' Up)
(Food Medley, Doctor)
(Food Medley, Steak No. 3)
(Food Medley, I Love Rocky Road)
(Let Me Be Your Hog, Lyrics:Let Me Be Your Hog)
(Let Me Be Your Hog, UHF (movie))
(Song:Spy Hard, Spy Hard)
(Album:Amish Paradise, Single:Amish Paradise)
(Lyrics:Ghandi II, Lyrics:Gandhi II)
