(Kishua Zelretch Schweinorg, Kischur Zelretch Schweinorg)
(Fate/Apocrypha, Meteo Hoshizora)
(Fate/Apocrypha, Hirotaka Maeda)
(Fate/Apocrypha, Saint George)
(Fate/Apocrypha, Fiore Forvedge Yggdmillennia)
(Fate/Apocrypha, Lancer)
(Fate/Apocrypha, TYPE-MOON)
(Fate/Apocrypha, Sagara Hyouma)
(Fate/Apocrypha, Greater Grail)
(Fate/Apocrypha, Gordes Musik Yggdmillennia)
(Fate/Apocrypha, Waver Velvet)
(Fate/Apocrypha, Archer of Red)
(Fate/Apocrypha, Musashibo Benkei)
(Fate/Apocrypha, Sakata Kintoki)
(Fate/Apocrypha, Fate/complete material)
(Fate/Apocrypha, Taketo Sanada)
(Fate/Apocrypha, Church)
(Fate/Apocrypha, Caster of Black)
(Fate/Apocrypha, Yggdmillennia)
(Fate/Apocrypha, Caules Forvedge Yggdmillennia)
(Fate/Apocrypha, Shidzuki Morii)
(Fate/Apocrypha, Rottweil Berzinsky)
(Fate/Apocrypha, Great Holy Grail War)
(Fate/Apocrypha, Raita Honjou)
(Fate/Apocrypha, Gene Rum)
(Fate/Apocrypha, Rider)
(Fate/Apocrypha, Archer)
(Fate/Apocrypha, Lancer of Red)
(Fate/Apocrypha, Fate/stay night)
(Fate/Apocrypha, Gen Urobuchi)
(Fate/Apocrypha, Homunculus)
(Fate/Apocrypha, Rocco Belfaban)
(Fate/Apocrypha, KN)
(Fate/Apocrypha, Takashi Takeuchi)
(Fate/Apocrypha, Berserker of Red)
(Fate/Apocrypha, Chinatsu Kurahana)
(Fate/Apocrypha, Kinoko Nasu)
(Fate/Apocrypha, Magic Crest)
(Fate/Apocrypha, Ginka)
(Fate/Apocrypha, Bram Nuada-Re Sophia-Ri)
(Fate/Apocrypha, Mage's Association)
(Fate/Apocrypha, Fifth Holy Grail War)
(Fate/Apocrypha, Celenike Icecolle Yggdmillennia)
(Fate/Apocrypha, Reika Rikudou)
(Fate/Apocrypha, Lancer of Black)
(Fate/Apocrypha, Sola-Ui Nuada-Re Sophia-Ri)
(Fate/Apocrypha, David)
(Fate/Apocrypha, Jack the Ripper)
(Chu Shi Biao, Caster (Fate/Grand Order - Zhuge Liang))
(Chu Shi Biao, Zhuge Liang)
(Rider (Fate/strange fake), Heroic Spirit)
(Rider (Fate/strange fake), Player)
(Rider (Fate/strange fake), Rider)
(Rider (Fate/strange fake), Fate)
(Rider (Fate/strange fake), True Name)
(Rider (Fate/strange fake), Fate/strange fake)
(Rider (Fate/strange fake), False Holy Grail War)
(Rider (Fate/strange fake), Tsubaki Kuruoka)
(Rider (Fate/strange fake), Servant)
(Rider (Fate/strange fake), Command Spells)
(Girl of the Moon, Moon)
(Girl of the Moon, Tsuki no Sango)
(Nameless Sword, Nameless Class Card)
(Clan Calatin's Noble Phantasms, Orlando Reeve)
